"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","30/1420","50/9440",0.6,3.9887323943662,8.915777421594,3.46818202222871e-13,1.70436373663811e-11,1.11607662068713e-11,"1440/6403/6347/3043/3039/3040/6401/3569/1378/3576/7412/7097/3683/3383/3606/3082/7057/2532/3553/3689/2995/5175/4615/7040/7060/7042/6383/958/7043/975",30
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","42/1420","79/9440",0.531645569620253,3.53431984310929,9.51773980956525,2.52500825155794e-15,2.17150709633983e-13,1.42197833114053e-13,"3117/3118/1378/2215/2209/7097/2214/2212/9103/2353/4689/3122/3109/1535/4688/3123/3111/718/3113/3115/3553/3689/3127/3684/5777/3108/4615/1536/7040/4792/3459/65108/1915/7042/7043/51135/2002/3688/3717/5579/5603/4843",42
"hsa05330","Human Diseases","Immune disease","hsa05330","Allograft rejection","18/1420","39/9440",0.461538461538462,3.068255687974,5.44589778376928,3.68875128255757e-06,3.42954173297244e-05,2.24578314215454e-05,"3117/3118/3122/3109/942/3123/3111/3113/3115/3127/3133/3108/5551/3105/3106/3134/3107/958",18
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","46/1420","101/9440",0.455445544554455,3.02775066239018,8.62074963081858,2.09985134103867e-13,1.20391476886217e-11,7.8836524031978e-12,"6347/6401/3569/3576/1277/7412/1281/5054/1288/1278/3383/2152/7056/3553/1906/1287/1282/7046/4846/1536/4313/6776/5292/7040/5336/183/4772/2308/6774/7048/2335/5330/7042/1284/5333/51196/7043/113026/8503/4089/3717/5581/1729/5579/23236/5603",46
"hsa04940","Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","20/1420","44/9440",0.454545454545455,3.02176696542894,5.6559545566052,1.43871891196239e-06,1.64973101905021e-05,1.08030121810509e-05,"3117/3118/3122/3109/942/3123/3111/3113/3115/3553/3127/3133/3108/5551/3105/3106/3134/3107/5799/3382",20
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","65/1420","144/9440",0.451388888888889,3.00078247261346,10.1801234332822,3.71549623545169e-18,6.39065352497691e-16,4.18482207571927e-16,"3117/3118/2215/730/2209/2214/8969/2212/713/714/8345/8348/8358/712/8336/3122/3109/942/8331/721/3123/3111/715/720/3018/718/85235/3113/3115/8329/3127/8968/8357/8337/716/8970/3108/55766/717/8330/8349/8335/3021/8361/440689/3013/3017/8338/8334/6737/317772/958/8343/121504/440686/8364/8344/3012/8365/6738/8339/3020/55506/2903/2904",65
"hsa05171","Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","103/1420","238/9440",0.432773109243697,2.87702686708486,12.3406442866936,2.54609360441583e-26,8.75856199919045e-24,5.73541085626302e-24,"1440/6403/6347/3569/3627/3576/730/7097/2212/713/714/712/51311/2353/728/719/721/2162/629/715/720/834/718/3553/6850/7450/716/4615/1536/717/51284/1839/7132/6235/5648/5336/4792/6222/6234/6170/6134/6223/6774/23521/115004/6210/6188/6175/200916/6187/3570/6164/6168/6202/6142/6159/6139/3661/6204/6193/6147/6206/6228/6152/9641/6217/10379/6156/6165/6208/6203/6137/6232/6205/6136/9349/51065/51135/6141/11224/6158/6227/6124/6189/6132/6209/6167/25873/2197/6155/6224/6176/6218/6130/6122/6143/8503/6181/6125/1147/7187/5579/5603",103
"hsa05332","Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","19/1420","45/9440",0.422222222222222,2.80688575899844,5.1122082960845,1.00037170799528e-05,8.00297366396225e-05,5.24062534910625e-05,"3569/3117/3118/3122/3109/942/3123/3111/3113/3115/3553/3127/3133/3108/5551/3105/3106/3134/3107",19
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","37/1420","88/9440",0.420454545454545,2.79513444302177,7.11878780589154,8.02350909578158e-10,2.30007260745739e-08,1.50616749692742e-08,"3053/1380/1378/5265/730/5054/713/714/11326/3426/712/10544/5329/728/719/721/2162/2153/629/715/720/718/3075/2152/7056/3689/7450/716/3684/2149/717/5648/624/7035/1604/5627/710",37
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","42/1420","102/9440",0.411764705882353,2.73736536868268,7.42308258931802,1.28439054938075e-10,4.90922609985532e-09,3.21473190137405e-09,"6403/2357/3875/3117/3118/2215/2209/2214/2212/713/2213/714/2359/3426/2358/712/9103/3122/3109/728/3880/3683/719/721/3383/629/3123/3111/715/720/718/3075/3113/3115/3689/3127/716/3684/3108/2204/717/5648",42
"hsa05134","Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","23/1420","56/9440",0.410714285714286,2.73038229376258,5.46464630163496,2.10789485015271e-06,2.26598696391416e-05,1.48384703267329e-05,"2919/3569/1378/3576/2920/7097/3310/929/58484/3606/4791/834/718/3553/3689/3684/7100/29108/4615/4792/1915/1937/57396",23
"hsa05133","Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","32/1420","78/9440",0.41025641025641,2.72733838931022,6.44555604743019,2.28441463286531e-08,4.91149146066042e-07,3.21621533837616e-07,"3569/3576/713/929/714/712/2353/3678/721/715/720/834/23643/718/3553/3689/3659/716/3684/6374/29108/4615/717/710/3661/51135/3688/387/2771/808/5603/4843",32
"hsa05321","Human Diseases","Immune disease","hsa05321","Inflammatory bowel disease","27/1420","66/9440",0.409090909090909,2.71959026888604,5.89867479098531,3.05403696475808e-07,4.04072583029531e-06,2.6460077346487e-06,"8807/50615/3569/3117/3118/7097/3566/64127/3122/3109/3123/3111/3606/3113/3115/3561/3553/3127/7100/3108/7040/4772/6774/3459/7042/7043/6775",27
"hsa05143","Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","15/1420","37/9440",0.405405405405405,2.69508945565284,4.34690598559136,0.00014983400189994,0.000873608417857275,0.000572069159796379,"3043/3039/3040/6401/3569/7412/3383/3606/8542/3553/4615/2150/5330/5579/23236",15
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","40/1420","100/9440",0.4,2.65915492957746,7.01832515096391,9.99427315818273e-10,2.64463843570374e-08,1.73180117882681e-08,"7850/1440/960/3569/3117/1380/3118/1378/2209/929/3566/3678/3122/3109/3554/912/1441/3690/3123/3111/3673/3113/3115/3553/3127/3563/951/3684/928/945/3108/1435/920/1438/1436/1604/3570/3655/7066/927",40
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","63/1420","160/9440",0.39375,2.61760563380282,8.68317662506046,3.58828475817567e-14,2.46873991362486e-12,1.61661671210441e-12,"6403/6401/3117/3118/120425/7412/6402/3122/3109/5010/942/5788/3683/3383/4099/6614/3123/3111/3113/3115/3689/3127/6693/5175/3684/23308/3133/3108/3695/3105/3106/920/7122/999/8516/10666/4267/3134/3107/965/1003/3384/3385/3685/64115/50848/3696/6383/83700/958/3655/1462/1525/4756/3688/9069/80381/9369/5792/5818/8506/64101/927",63
"hsa04380","Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","56/1420","143/9440",0.391608391608392,2.60336846252339,8.129239548696,1.25925265200388e-12,5.41478640361667e-11,3.54579036222144e-11,"9021/11025/8061/353514/2215/79168/2209/2214/2212/10288/2213/4982/54/9103/2353/4689/7305/3554/1535/3690/4688/3726/4791/6688/10990/3553/11024/10859/6850/54209/1435/695/7046/126014/7132/1436/3710/7040/5336/4792/4772/3459/7048/7042/3937/10379/1513/8503/5534/5530/140885/1147/2274/3708/814/5603",56
