"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0042759","BP","GO:0042759","long-chain fatty acid biosynthetic process",19,0.65987491424255,1.69779422885651,0.00743193834102751,0.0499060438340891,0.0384002085784745,2451,"tags=42%, list=11%, signal=37%","ENSG00000123560/ENSG00000179593/ENSG00000108839/ENSG00000103740/ENSG00000012779/ENSG00000149485/ENSG00000134184/ENSG00000170522"
"GO:0072562","CC","GO:0072562","blood microparticle",88,0.457253858418257,1.53285552508943,0.00743377361727791,0.0499060438340891,0.0384002085784745,2671,"tags=32%, list=12%, signal=28%","ENSG00000196565/ENSG00000091513/ENSG00000196136/ENSG00000167772/ENSG00000257017/ENSG00000135744/ENSG00000173110/ENSG00000204389/ENSG00000204388/ENSG00000004939/ENSG00000225217/ENSG00000206172/ENSG00000142748/ENSG00000244734/ENSG00000244731/ENSG00000173369/ENSG00000005961/ENSG00000159251/ENSG00000167711/ENSG00000159189/ENSG00000188536/ENSG00000163017/ENSG00000159403/ENSG00000211675/ENSG00000243649/ENSG00000213719/ENSG00000126838/ENSG00000136425"
"GO:0048515","BP","GO:0048515","spermatid differentiation",166,-0.319016025536168,-1.38604498745563,0.00738211043546769,0.0496451728678373,0.0381994813970246,4553,"tags=34%, list=21%, signal=27%","ENSG00000100271/ENSG00000106069/ENSG00000080503/ENSG00000183785/ENSG00000119636/ENSG00000181378/ENSG00000157856/ENSG00000136492/ENSG00000149292/ENSG00000172361/ENSG00000162526/ENSG00000183291/ENSG00000163879/ENSG00000166037/ENSG00000221829/ENSG00000116254/ENSG00000145491/ENSG00000183160/ENSG00000291139/ENSG00000118690/ENSG00000188596/ENSG00000274600/ENSG00000152705/ENSG00000114473/ENSG00000188738/ENSG00000152582/ENSG00000165309/ENSG00000071539/ENSG00000118492/ENSG00000206530/ENSG00000088986/ENSG00000186710/ENSG00000112530/ENSG00000066185/ENSG00000135205/ENSG00000159625/ENSG00000112981/ENSG00000177990/ENSG00000028839/ENSG00000162779/ENSG00000105948/ENSG00000177045/ENSG00000272514/ENSG00000144061/ENSG00000160188/ENSG00000197748/ENSG00000128040/ENSG00000179397/ENSG00000089101/ENSG00000138587/ENSG00000166596/ENSG00000163075/ENSG00000130413/ENSG00000105792/ENSG00000243710/ENSG00000179598/ENSG00000111087"
"GO:0045745","BP","GO:0045745","positive regulation of G protein-coupled receptor signaling pathway",29,0.588194486416555,1.64356224774737,0.00736372343620086,0.0495645065315117,0.0381374126794467,2239,"tags=38%, list=10%, signal=34%","ENSG00000167755/ENSG00000184144/ENSG00000164850/ENSG00000259207/ENSG00000170262/ENSG00000095970/ENSG00000078401/ENSG00000179915/ENSG00000129437/ENSG00000188906/ENSG00000104635"
"GO:0097254","BP","GO:0097254","renal tubular secretion",16,0.678638707763037,1.67115448577386,0.00729887884688361,0.0491707268277459,0.0378344188615267,3388,"tags=50%, list=15%, signal=42%","ENSG00000135744/ENSG00000159167/ENSG00000134548/ENSG00000078401/ENSG00000105929/ENSG00000169418/ENSG00000136160/ENSG00000275023"
"GO:0032809","CC","GO:0032809","neuronal cell body membrane",24,0.617702403760147,1.65735463257687,0.0072805601151961,0.0490899679419396,0.0377722789317451,2018,"tags=38%, list=9%, signal=34%","ENSG00000155897/ENSG00000113763/ENSG00000175161/ENSG00000012124/ENSG00000154864/ENSG00000105409/ENSG00000126500/ENSG00000171105/ENSG00000155511"
"GO:0098840","BP","GO:0098840","protein transport along microtubule",14,0.702828627475419,1.674683703653,0.00726061222513328,0.0489980741459386,0.0377015712446113,2339,"tags=43%, list=11%, signal=38%","ENSG00000166342/ENSG00000168280/ENSG00000151929/ENSG00000076826/ENSG00000106211/ENSG00000150672"
"GO:0099118","BP","GO:0099118","microtubule-based protein transport",14,0.702828627475419,1.674683703653,0.00726061222513328,0.0489980741459386,0.0377015712446113,2339,"tags=43%, list=11%, signal=38%","ENSG00000166342/ENSG00000168280/ENSG00000151929/ENSG00000076826/ENSG00000106211/ENSG00000150672"
"GO:0140105","BP","GO:0140105","interleukin-10-mediated signaling pathway",11,0.761267237322145,1.71377554811565,0.00720950115162841,0.048764942523495,0.0375221881030055,3712,"tags=64%, list=17%, signal=53%","ENSG00000104972/ENSG00000239998/ENSG00000104974/ENSG00000131042/ENSG00000168610/ENSG00000243646/ENSG00000110324"
"GO:0030427","CC","GO:0030427","site of polarized growth",162,0.401253808608686,1.44949342019924,0.00721348840268878,0.048764942523495,0.0375221881030055,4970,"tags=29%, list=23%, signal=23%","ENSG00000015592/ENSG00000058335/ENSG00000186868/ENSG00000168280/ENSG00000173805/ENSG00000099625/ENSG00000185133/ENSG00000184226/ENSG00000169258/ENSG00000187672/ENSG00000213923/ENSG00000258947/ENSG00000179915/ENSG00000110400/ENSG00000124126/ENSG00000171587/ENSG00000187688/ENSG00000143199/ENSG00000172020/ENSG00000158555/ENSG00000080824/ENSG00000188906/ENSG00000131711/ENSG00000113657/ENSG00000167654/ENSG00000004478/ENSG00000107404/ENSG00000116852/ENSG00000165795/ENSG00000078018/ENSG00000197457/ENSG00000151491/ENSG00000073910/ENSG00000197535/ENSG00000176788/ENSG00000131584/ENSG00000130558/ENSG00000103187/ENSG00000273749/ENSG00000075539/ENSG00000111199/ENSG00000115232/ENSG00000100503/ENSG00000247596/ENSG00000166900/ENSG00000079805/ENSG00000162105"
"GO:0006024","BP","GO:0006024","glycosaminoglycan biosynthetic process",66,0.488291020769188,1.57328470914346,0.00717520455582327,0.048590861245287,0.0373882412524995,5544,"tags=42%, list=25%, signal=32%","ENSG00000109956/ENSG00000154080/ENSG00000122254/ENSG00000170961/ENSG00000147408/ENSG00000175264/ENSG00000138604/ENSG00000002587/ENSG00000125538/ENSG00000008513/ENSG00000131873/ENSG00000138798/ENSG00000103888/ENSG00000157350/ENSG00000122863/ENSG00000111846/ENSG00000103489/ENSG00000175040/ENSG00000070614/ENSG00000100311/ENSG00000110080/ENSG00000111817/ENSG00000105329/ENSG00000123989/ENSG00000111962/ENSG00000180767/ENSG00000166507/ENSG00000155893"
"GO:0060675","BP","GO:0060675","ureteric bud morphogenesis",56,0.502439068805759,1.58879301555431,0.00714547304523284,0.0484318164272163,0.0372658642071952,1842,"tags=29%, list=8%, signal=26%","ENSG00000158955/ENSG00000005513/ENSG00000135744/ENSG00000166923/ENSG00000113578/ENSG00000103449/ENSG00000112715/ENSG00000107485/ENSG00000248905/ENSG00000130702/ENSG00000136997/ENSG00000105696/ENSG00000141449/ENSG00000125845/ENSG00000183691/ENSG00000075891"
"GO:0046879","BP","GO:0046879","hormone secretion",248,0.365962955163353,1.36864938421737,0.00711521420100907,0.0482689159358043,0.0371405204137951,2913,"tags=22%, list=13%, signal=19%","ENSG00000118785/ENSG00000272636/ENSG00000163485/ENSG00000163083/ENSG00000155897/ENSG00000135744/ENSG00000010310/ENSG00000164850/ENSG00000284762/ENSG00000174672/ENSG00000004468/ENSG00000100078/ENSG00000270885/ENSG00000107485/ENSG00000136244/ENSG00000012779/ENSG00000078401/ENSG00000113231/ENSG00000110719/ENSG00000099985/ENSG00000072310/ENSG00000183682/ENSG00000168993/ENSG00000181031/ENSG00000122641/ENSG00000179044/ENSG00000125538/ENSG00000141433/ENSG00000169992/ENSG00000138207/ENSG00000184160/ENSG00000102362/ENSG00000001626/ENSG00000187486/ENSG00000171132/ENSG00000176887/ENSG00000185950/ENSG00000173918/ENSG00000136802/ENSG00000155380/ENSG00000186188/ENSG00000087258/ENSG00000053918/ENSG00000149577/ENSG00000119782/ENSG00000240583/ENSG00000053438/ENSG00000198355/ENSG00000125618/ENSG00000100889/ENSG00000089060/ENSG00000008130/ENSG00000132170/ENSG00000171316/ENSG00000106089"
"GO:0007413","BP","GO:0007413","axonal fasciculation",20,0.658283409356657,1.71976960520448,0.00708644437729872,0.0481158403691544,0.0370227364093734,2118,"tags=30%, list=10%, signal=27%","ENSG00000184144/ENSG00000154654/ENSG00000091129/ENSG00000095713/ENSG00000146072/ENSG00000144619"
"GO:0106030","BP","GO:0106030","neuron projection fasciculation",20,0.658283409356657,1.71976960520448,0.00708644437729872,0.0481158403691544,0.0370227364093734,2118,"tags=30%, list=10%, signal=27%","ENSG00000184144/ENSG00000154654/ENSG00000091129/ENSG00000095713/ENSG00000146072/ENSG00000144619"
"GO:0002367","BP","GO:0002367","cytokine production involved in immune response",109,0.433750086444062,1.49790084805073,0.00705534065311408,0.0479886942317953,0.0369249038059563,4816,"tags=40%, list=22%, signal=32%","ENSG00000115604/ENSG00000161929/ENSG00000167207/ENSG00000107485/ENSG00000136244/ENSG00000167191/ENSG00000105639/ENSG00000028137/ENSG00000173762/ENSG00000090376/ENSG00000162511/ENSG00000196352/ENSG00000103257/ENSG00000113916/ENSG00000121236/ENSG00000239732/ENSG00000125538/ENSG00000141574/ENSG00000089041/ENSG00000104972/ENSG00000167601/ENSG00000122122/ENSG00000124731/ENSG00000119508/ENSG00000101665/ENSG00000115594/ENSG00000162711/ENSG00000106100/ENSG00000187796/ENSG00000150782/ENSG00000102575/ENSG00000189067/ENSG00000119699/ENSG00000117586/ENSG00000127666/ENSG00000010671/ENSG00000157404/ENSG00000138623/ENSG00000130529/ENSG00000103490/ENSG00000165025/ENSG00000130303/ENSG00000105329/ENSG00000240972"
"GO:0007249","BP","GO:0007249","canonical NF-kappaB signal transduction",295,0.363651983556361,1.37249422976603,0.00700428658540314,0.0476832644277576,0.0366898908239591,5775,"tags=33%, list=26%, signal=25%","ENSG00000163221/ENSG00000142405/ENSG00000151651/ENSG00000213186/ENSG00000162722/ENSG00000167207/ENSG00000112715/ENSG00000012223/ENSG00000100292/ENSG00000167191/ENSG00000095970/ENSG00000078401/ENSG00000069399/ENSG00000263528/ENSG00000090376/ENSG00000100065/ENSG00000137462/ENSG00000121236/ENSG00000239732/ENSG00000125538/ENSG00000198121/ENSG00000196154/ENSG00000213889/ENSG00000179094/ENSG00000118503/ENSG00000100906/ENSG00000171132/ENSG00000174885/ENSG00000106211/ENSG00000141574/ENSG00000198053/ENSG00000126353/ENSG00000181104/ENSG00000092529/ENSG00000141480/ENSG00000136160/ENSG00000125735/ENSG00000023445/ENSG00000003402/ENSG00000168610/ENSG00000106100/ENSG00000187796/ENSG00000145901/ENSG00000163874/ENSG00000141867/ENSG00000184216/ENSG00000139946/ENSG00000101265/ENSG00000198286/ENSG00000189067/ENSG00000197329/ENSG00000168884/ENSG00000168961/ENSG00000069667/ENSG00000082805/ENSG00000155366/ENSG00000111321/ENSG00000127666/ENSG00000056972/ENSG00000137802/ENSG00000128284/ENSG00000056558/ENSG00000205542/ENSG00000072274/ENSG00000124602/ENSG00000100097/ENSG00000171604/ENSG00000067182/ENSG00000129353/ENSG00000120889/ENSG00000103490/ENSG00000116478/ENSG00000130303/ENSG00000105974/ENSG00000105329/ENSG00000011485/ENSG00000197530/ENSG00000126456/ENSG00000214078/ENSG00000132274/ENSG00000110330/ENSG00000165233/ENSG00000168421/ENSG00000177595/ENSG00000168256/ENSG00000003400/ENSG00000173039/ENSG00000064012/ENSG00000077150/ENSG00000264522/ENSG00000125826/ENSG00000197943/ENSG00000165732/ENSG00000177576/ENSG00000147649/ENSG00000112343/ENSG00000134070/ENSG00000132256"
"GO:0050829","BP","GO:0050829","defense response to Gram-negative bacterium",46,0.526863408992921,1.60212290373227,0.00697508240204473,0.0475261765777283,0.0365690195678379,2805,"tags=35%, list=13%, signal=30%","ENSG00000018280/ENSG00000106366/ENSG00000148926/ENSG00000012223/ENSG00000136244/ENSG00000095970/ENSG00000105697/ENSG00000239732/ENSG00000124635/ENSG00000101425/ENSG00000164104/ENSG00000174175/ENSG00000124731/ENSG00000240583/ENSG00000106100/ENSG00000144802"
"GO:0045599","BP","GO:0045599","negative regulation of fat cell differentiation",46,0.526581322747917,1.60126511625598,0.00697508240204473,0.0475261765777283,0.0365690195678379,4729,"tags=52%, list=22%, signal=41%","ENSG00000164850/ENSG00000112715/ENSG00000136244/ENSG00000099953/ENSG00000125845/ENSG00000071575/ENSG00000134243/ENSG00000101412/ENSG00000104415/ENSG00000180011/ENSG00000140044/ENSG00000140682/ENSG00000018408/ENSG00000152518/ENSG00000069667/ENSG00000169946/ENSG00000186480/ENSG00000103126/ENSG00000133794/ENSG00000166949/ENSG00000038382/ENSG00000111199/ENSG00000101384/ENSG00000105329"
