"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001618","MF","GO:0001618","virus receptor activity","19/2054","79/18737",0.240506329113924,2.19394697595306,3.73136406525088,0.000722306762830964,0.0497966780022288,0.0458429988793646,"4340/26762/23601/7301/3673/8692/3690/59272/3678/3949/1604/5818/1969/6541/3685/558/949/30835/3356",19
"GO:0090208","BP","GO:0090208","positive regulation of triglyceride metabolic process","8/2006","22/18986",0.363636363636364,3.44167497507478,3.93854798760007,0.00125493759504871,0.049732519235707,0.0439152183896502,"344/6720/3949/57104/949/51099/2822/84879",8
"GO:0045124","BP","GO:0045124","regulation of bone resorption","12/2006","43/18986",0.27906976744186,2.64128544598762,3.70335963564104,0.00126117188928367,0.049732519235707,0.0439152183896502,"6696/7018/5166/101/952/4982/3690/1901/3635/7107/1445/53832",12
"GO:0043086","BP","GO:0043086","negative regulation of catalytic activity","73/2006","486/18986",0.150205761316872,1.42163837704992,3.23649041782315,0.00126347031987756,0.049732519235707,0.0439152183896502,"12/51129/124857/6590/5365/7076/5054/9052/4137/183/50859/4803/2913/5265/343035/11314/4504/1028/51050/7079/5806/341/8692/55861/7422/4057/5329/340267/5270/634/54206/11213/650/57732/1032/960/28951/5345/6272/26191/8996/89932/54922/51291/120892/8660/26086/9479/4851/274/1910/4092/64798/5580/25937/6478/221908/64114/64853/10999/375484/1974/11116/6879/4869/10653/7026/5770/84059/3434/6692/79886/9495",73
"GO:0046032","BP","GO:0046032","ADP catabolic process","21/2006","98/18986",0.214285714285714,2.02812989602621,3.50727613980601,0.00120193660350217,0.0496413561335594,0.0438347187970011,"54541/3099/3939/5214/8870/6521/5209/2027/3643/230/2584/2026/6774/7167/221937/5465/9611/4967/7351/3356/80201",21
"GO:0033690","BP","GO:0033690","positive regulation of osteoblast proliferation","6/2006","13/18986",0.461538461538462,4.36827977605645,4.17555061646603,0.00122772797833934,0.0496413561335594,0.0438347187970011,"30812/3690/4057/650/3685/3480",6
"GO:0060670","BP","GO:0060670","branching involved in labyrinthine layer morphogenesis","6/2006","13/18986",0.461538461538462,4.36827977605645,4.17555061646603,0.00122772797833934,0.0496413561335594,0.0438347187970011,"6768/133/2263/10653/6692/84870",6
"GO:1902042","BP","GO:1902042","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","10/2006","32/18986",0.3125,2.95768943170489,3.80952010118,0.00122858498977689,0.0496413561335594,0.0438347187970011,"5054/23017/4846/3162/85450/8682/3148/8837/64114/6423",10
"GO:0043434","BP","GO:0043434","response to peptide hormone","68/2006","446/18986",0.152466367713004,1.44303412632059,3.25425564751695,0.00123284997728439,0.0496413561335594,0.0438347187970011,"5105/286753/374/7076/3625/5166/114/183/2852/3690/133/10603/634/3718/54206/9518/5305/6720/10580/5140/7097/5791/23371/2887/6272/55532/64900/3643/6778/8660/7010/23516/11031/123041/1910/10768/5106/5580/10458/8837/6774/51043/6513/8892/3297/5829/3480/4644/5465/1445/23191/10999/6777/445/4641/5573/57727/79837/9847/5295/9365/5770/1407/2690/7351/80318/2822/3973",68
"GO:0006909","BP","GO:0006909","phagocytosis","41/2006","239/18986",0.171548117154812,1.62363537004051,3.33476873800626,0.00123626308940337,0.0496413561335594,0.0438347187970011,"6556/26762/134/2268/11314/7301/3673/5806/3690/64127/7052/8291/146722/54209/4481/23396/3601/5175/7097/135/22918/3949/4688/64005/2212/3689/5581/3685/11031/9844/558/949/5580/55647/23208/1445/25875/94134/196051/6441/335",41
"GO:0045335","CC","GO:0045335","phagocytic vesicle","26/2101","145/19960",0.179310344827586,1.70349094848102,2.91607925518257,0.00468825307201521,0.0491184668006516,0.0427447203165111,"6556/26253/101/388325/64127/4057/10312/7097/4688/7454/752/10435/3685/120892/11031/10392/55647/3106/23580/23208/9230/4641/6890/23682/7405/219972",26
"GO:0046031","BP","GO:0046031","ADP metabolic process","22/2006","104/18986",0.211538461538462,2.00212823069254,3.52223146016492,0.00111372276657104,0.0471300209811422,0.0416171389646723,"54541/3099/3939/5214/8870/6521/5209/2027/205/3643/230/2584/2026/6774/7167/221937/5465/9611/4967/7351/3356/80201",22
"GO:0042886","BP","GO:0042886","amide transport","53/2006","328/18986",0.161585365853659,1.52934185249131,3.3238585410628,0.00112102315487679,0.0471300209811422,0.0416171389646723,"4036/6563/8447/6279/134/3625/366/114/2696/2852/9024/952/91608/8170/240/8622/10312/6720/10815/4257/9501/57555/94121/5581/8660/56262/51092/415116/5106/80024/84876/51228/27445/2182/9463/2767/9230/6890/5573/9575/23410/5978/150/6567/5660/7351/84976/2822/6564/1363/30835/2350/2850",53
"GO:0006882","BP","GO:0006882","intracellular zinc ion homeostasis","11/2006","37/18986",0.297297297297297,2.81380183773005,3.7957663714562,0.00112645712858154,0.0471300209811422,0.0416171389646723,"6279/6280/4501/4489/4502/4504/4499/4493/55532/23516/540",11
"GO:0032589","CC","GO:0032589","neuron projection membrane","14/2101","62/19960",0.225806451612903,2.14521502817399,3.09764765220581,0.00441587646168362,0.0469876854751022,0.0408904349988137,"134/7399/4137/90249/2565/2852/2564/135/23136/3643/6711/4641/84059/9495",14
"GO:0035591","MF","GO:0035591","signaling adaptor activity","27/2054","128/18737",0.2109375,1.92421418573515,3.68143960949637,0.000608036393631579,0.0458200705428619,0.042182119908778,"50944/51225/10603/3059/29775/10580/55824/2887/6461/85358/120892/8660/29760/9479/274/9455/9846/139716/6774/5604/10019/148022/8312/2783/5295/9908/340061",27
"GO:0051020","MF","GO:0051020","GTPase binding","54/2054","316/18737",0.170886075949367,1.55885706186139,3.51551752123107,0.000625529973281391,0.0458200705428619,0.042182119908778,"51555/8408/23500/9501/81553/4688/7454/79890/4650/29941/752/94121/23258/54922/10435/221472/120892/84079/397/79778/274/8531/92154/64423/50855/7126/1855/9783/1955/23580/5216/9732/220441/4644/23062/664/115704/6711/23191/5906/4641/2783/9371/25782/64121/1434/9912/9910/23086/23329/10602/120379/128344/94122",54
"GO:0098862","CC","GO:0098862","cluster of actin-based cell projections","30/2101","173/19960",0.173410404624277,1.64744011247053,2.93350291533337,0.00419948834845397,0.045394469290431,0.0395039589002437,"4036/10083/7399/2028/59272/64078/286262/5205/64787/9780/51168/87/161497/1192/9455/10518/9732/10999/4641/2683/6550/10096/79784/84059/494513/51473/6564/10568/793/54084",30
"GO:0007188","BP","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","46/2006","274/18986",0.167883211678832,1.5889484830181,3.37516031994722,0.00103657454318249,0.0447296926372583,0.0394975812779013,"2861/53637/222487/134/114/2847/30817/9283/2696/2852/2913/118442/10149/57561/1903/5138/3690/115330/8698/133/1901/9289/80045/9630/5141/5140/135/333/2869/196883/64123/976/10163/2767/5573/150/5660/54331/2918/4886/9495/5733/3355/83873/4283/3973",46
"GO:0060294","BP","GO:0060294","cilium movement involved in cell motility","38/2006","215/18986",0.176744186046512,1.67281411579216,3.41014261333894,0.0010421279224524,0.0447296926372583,0.0394975812779013,"8632/221481/220004/11092/144535/64800/84223/79925/54585/55779/57639/56171/158787/93190/154865/27285/80217/642987/126820/164395/25911/257044/26074/64147/339829/79645/55329/339778/1768/146845/200373/84688/79846/345895/149465/440585/389799/202500",38
"GO:0019915","BP","GO:0019915","lipid storage","21/2006","97/18986",0.216494845360825,2.04903845165534,3.560202601127,0.00104665836022333,0.0447296926372583,0.0394975812779013,"29923/123/3690/54209/4481/6720/9641/3685/57104/949/6721/57674/5467/5465/6777/51099/79068/128486/84649/1407/335",21
"GO:0097733","CC","GO:0097733","photoreceptor cell cilium","23/2101","122/19960",0.188524590163934,1.79102847200006,3.00591665433613,0.00401019146676348,0.04455418815953,0.0387727149452282,"10083/7399/768206/343035/388531/23418/92211/5305/6094/9249/123041/10518/2767/55081/51098/6103/65062/4117/23322/4867/55764/167691/1069",23
"GO:0097545","CC","GO:0097545","axonemal doublet microtubule","12/2101","49/19960",0.244897959183673,2.32658889352981,3.1889059251844,0.00405632843743151,0.04455418815953,0.0387727149452282,"220004/11092/64800/158787/93190/27285/55329/339778/146845/84688/440585/389799",12
"GO:0019911","MF","GO:0019911","structural constituent of myelin sheath","6/2054","11/18737",0.545454545454545,4.97574577321413,4.62800716398784,0.000488089930694145,0.0427237737536663,0.0393316580721286,"5354/4336/4118/4155/51090/7851",6
"GO:0005520","MF","GO:0005520","insulin-like growth factor binding","8/2054","19/18737",0.421052631578947,3.84092656177933,4.34719047912637,0.000510352246204205,0.0427237737536663,0.0393316580721286,"4036/3690/3487/3643/3685/3655/3480/81621",8
"GO:0048708","BP","GO:0048708","astrocyte differentiation","20/2006","90/18986",0.222222222222222,2.10324581810125,3.6058738299266,0.000967923634182943,0.0425429474353456,0.0375666235347519,"5354/6900/4099/6279/6280/2670/30812/4137/9283/84630/5270/54209/650/135/3949/4851/274/6774/5604/6469",20
"GO:0072526","BP","GO:0072526","pyridine-containing compound catabolic process","22/2006","103/18986",0.213592233009709,2.0215663688546,3.57315309977871,0.000973456770183773,0.0425429474353456,0.0375666235347519,"54541/3099/3939/5214/8870/6521/5209/2027/3643/230/2584/2026/4860/6774/7167/221937/5465/9611/4967/7351/3356/80201",22
"GO:0001701","BP","GO:0001701","in utero embryonic development","63/2006","403/18986",0.156327543424318,1.47957863382557,3.34469374450942,0.000973947560056276,0.0425429474353456,0.0375666235347519,"6663/6768/7484/30812/55273/4846/338596/133/7262/284723/7422/650/1051/4242/80790/64359/7075/23462/9654/57662/57178/4851/8178/2648/8531/5045/80312/7048/5604/5335/728661/4678/157506/23250/8312/129685/83605/4154/92521/22846/9646/5930/2263/79718/705/90/4487/10653/27077/7026/23322/6692/86/64168/79583/10361/5932/55172/51176/10568/196051/84870/675",63
"GO:0060491","BP","GO:0060491","regulation of cell projection assembly","37/2006","207/18986",0.178743961352657,1.69174120151622,3.43949361678535,0.00097415741244231,0.0425429474353456,0.0375666235347519,"54443/5365/51225/23500/146206/26051/7454/1969/5205/64787/10435/3064/5580/5420/23613/221908/23580/10163/5216/115704/23191/4651/79647/79598/10096/8100/9912/5295/378/4117/5217/51626/23329/10602/55329/51473/158297",37
"GO:0060396","BP","GO:0060396","growth hormone receptor signaling pathway","9/2006","26/18986",0.346153846153846,3.27620983204233,3.99191903776362,0.000944175094080672,0.0424736811119147,0.0375054594158361,"3718/9518/6778/6774/5829/6777/5295/5770/2690",9
"GO:0031281","BP","GO:0031281","positive regulation of cyclase activity","10/2006","31/18986",0.32258064516129,3.05309876821149,3.93215579968014,0.000931936100523266,0.0422407097684144,0.0372997391429527,"57413/2696/4846/140/84876/6786/10487/9495/49/3973",10
"GO:0051896","BP","GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","47/2006","280/18986",0.167857142857143,1.5887017518872,3.41103205746899,0.000923546717307372,0.0421800000736642,0.0372461307687079,"2065/4922/9723/183/2268/55273/2852/101/5314/2046/7301/8692/2321/56917/7422/5270/26051/634/54209/9518/23396/4015/29062/3059/57091/5140/23533/3643/8660/7010/2149/114897/558/113791/10507/5777/5467/3480/10019/55615/5465/2137/8904/25827/5770/1524/6348",47
"GO:0043410","BP","GO:0043410","positive regulation of MAPK cascade","72/2006","472/18986",0.152542372881356,1.44375348530679,3.35555660109633,0.000889668099749734,0.0418313801130525,0.0369382895022583,"2861/134/353514/9283/2852/101/4504/2046/388325/3690/2321/2246/64127/388121/7422/10912/3487/54209/8622/2324/9518/64762/57007/7805/650/28996/960/23533/5345/1942/55532/26191/344558/285613/3643/54910/5581/152007/120892/60370/7010/2149/2081/114897/9479/4851/8837/50488/10392/5604/8567/3480/23328/5871/3340/84231/8312/5906/2263/150/9365/5770/2690/1687/50937/152110/146433/55765/8823/54550/3356/6348",72
"GO:0009154","BP","GO:0009154","purine ribonucleotide catabolic process","26/2006","129/18986",0.201550387596899,1.90759504432439,3.55510631363052,0.000895959623793257,0.0418313801130525,0.0369382895022583,"54541/3099/3939/5214/5138/8870/6521/5141/8622/5209/2027/27115/3643/230/2584/2026/4860/6774/7167/221937/5465/9611/4967/7351/3356/80201",26
"GO:0043254","BP","GO:0043254","regulation of protein-containing complex assembly","67/2006","433/18986",0.15473441108545,1.46450026364325,3.36066143919854,0.000903600087756317,0.0418313801130525,0.0369382895022583,"10382/10344/2670/4137/84722/4210/8408/84630/122060/822/7422/27124/256949/7111/342184/23500/146206/89848/1410/54209/9641/3059/54751/81553/57580/26191/23514/9168/57662/54922/10435/5581/9780/90952/84079/9026/93323/274/5580/10458/85464/91663/5526/1955/3297/23580/148022/51429/5216/8874/64853/54930/7067/6711/23191/23332/1452/27072/65082/26146/63908/25827/5217/64147/10602/84962/50632",67
"GO:0006096","BP","GO:0006096","glycolytic process","21/2006","96/18986",0.21875,2.07038260219342,3.61377077371047,0.000908921847684578,0.0418313801130525,0.0369382895022583,"54541/3099/3939/5214/8870/6521/5209/2027/3643/230/2584/2026/6774/7167/221937/5465/9611/4967/7351/3356/80201",21
"GO:0019867","CC","GO:0019867","outer membrane","41/2101","254/19960",0.161417322834646,1.53350298133247,2.93500142494538,0.00366206027170511,0.041564384083853,0.0361708760170171,"6663/3099/221481/597/4128/4504/1267/8408/5138/3162/85450/2309/4257/7316/120892/8165/1375/1717/10058/2182/2180/664/665/445/9868/54470/6843/25875/345778/340061/132671/79877/84987/670/84816/55750/64757/84303/79691/201164/91543",41
"GO:0001569","BP","GO:0001569","branching involved in blood vessel morphogenesis","11/2006","36/18986",0.305555555555556,2.89196299988922,3.90536117334776,0.000874031277004833,0.0415026121453961,0.0366479781059921,"9723/7422/4855/1282/4776/54567/7048/90/51176/6469/6423",11
"GO:0032232","BP","GO:0032232","negative regulation of actin filament bundle assembly","11/2006","36/18986",0.305555555555556,2.89196299988922,3.90536117334776,0.000874031277004833,0.0415026121453961,0.0366479781059921,"50944/1901/7454/85358/10395/395/84952/10163/5216/23332/5295",11
"GO:0030832","BP","GO:0030832","regulation of actin filament length","30/2006","156/18986",0.192307692307692,1.82011657335685,3.53520538209269,0.000852817479746859,0.0411484433977859,0.0363352371039855,"10344/822/256949/7111/342184/23500/146206/89848/3059/81553/7454/57580/9168/10435/5581/90952/9026/274/5580/10458/85464/91663/1955/23580/51429/5216/6711/23191/5217/10602",30
"GO:0098966","CC","GO:0098966","perisynaptic extracellular matrix","5/2101","11/19960",0.454545454545455,4.31828999177881,3.77575634816709,0.00344475648790632,0.0397606638688848,0.0346012114663918,"60484/63827/7143/3371/5803",5
"GO:0009261","BP","GO:0009261","ribonucleotide catabolic process","27/2006","135/18986",0.2,1.89292123629113,3.57861321663167,0.000816332226801717,0.0397082578288998,0.0350635125915089,"54541/3099/3939/5214/5138/8870/6521/5141/8622/5209/2027/27115/3643/230/2584/2026/4860/1806/6774/7167/221937/5465/9611/4967/7351/3356/80201",27
"GO:0120032","BP","GO:0120032","regulation of plasma membrane bounded cell projection assembly","37/2006","205/18986",0.180487804878049,1.70824599372614,3.50431891546804,0.000809609395959261,0.0397040411149529,0.0350597891140598,"54443/5365/51225/23500/146206/26051/7454/1969/5205/64787/10435/3064/5580/5420/23613/221908/23580/10163/5216/115704/23191/4651/79647/79598/10096/8100/9912/5295/378/4117/5217/51626/23329/10602/55329/51473/158297",37
"GO:0106027","BP","GO:0106027","neuron projection organization","21/2006","95/18986",0.221052631578947,2.09217610326914,3.66799656873235,0.000787076703951752,0.0389180158656474,0.0343657066301335,"11141/50944/51225/54209/1942/7804/3643/85358/120892/10458/1855/23613/3480/9463/9912/23316/80823/225/158866/5641/115703",21
"GO:0050866","BP","GO:0050866","negative regulation of cell activation","39/2006","219/18986",0.178082191780822,1.68547781313593,3.50687232754972,0.000777779902256586,0.0387869921669435,0.0342500090054962,"384/2268/1840/2852/4846/11314/7301/7056/64115/5270/634/146722/54209/3718/7805/55824/135/3949/1051/27242/26191/3566/2615/868/6693/114897/558/4092/5580/3635/51043/5777/10019/23208/5573/2302/3902/6441/6469",39
"GO:0032535","BP","GO:0032535","regulation of cellular component size","58/2006","361/18986",0.160664819944598,1.5206292479901,3.43270074826726,0.000777944018056698,0.0387869921669435,0.0342500090054962,"6900/6696/4099/10344/51334/7143/10083/4137/4504/8408/822/5865/3783/7422/256949/7111/342184/23500/146206/89848/51704/23108/3059/81553/7454/57580/79890/51393/6405/9168/10435/5581/85358/90952/56262/9026/274/64798/5580/10458/85464/91663/10507/1955/9990/79036/23580/51429/5216/6711/23191/57609/8799/5217/10602/1382/9856/2258",58
"GO:0072523","BP","GO:0072523","purine-containing compound catabolic process","30/2006","155/18986",0.193548387096774,1.8318592609269,3.57421715883894,0.000764554275760049,0.0387681699732418,0.0342333884771239,"54541/3099/3939/5214/5138/8870/6521/5141/8622/5209/2027/23417/27115/3643/230/2584/2026/4860/1806/6774/7167/221937/5465/9611/128486/4967/7351/283927/3356/80201",30
"GO:0052548","BP","GO:0052548","regulation of endopeptidase activity","43/2006","248/18986",0.173387096774194,1.64104058791368,3.49262270748022,0.000764607062818408,0.0387681699732418,0.0342333884771239,"4155/9705/12/6279/6280/7076/5054/4137/112399/4210/58484/50859/91662/4803/2852/5265/84630/7422/4057/5329/64115/5270/4609/7805/1032/960/5345/1942/8996/10395/2149/9026/274/5045/6774/10392/83874/6478/5978/55081/1611/79886/5641",43
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","67/2006","430/18986",0.155813953488372,1.47471770734309,3.42238922212277,0.000749545829782707,0.0386597646516374,0.0341376635179619,"3118/5105/6279/6280/384/1840/912/101/11314/51148/7704/23149/64127/64115/6402/3718/3678/240/2309/7805/5175/23308/55824/135/1051/960/1604/27242/3689/26191/3566/1326/2615/6541/868/6693/6461/57178/50512/4860/6793/4092/27/10318/10507/7048/23476/3654/51043/5777/80381/6484/5465/1445/6777/445/5573/6595/86/2302/3902/51176/30835/6441/1524/6469/6401",67
"GO:1903035","BP","GO:1903035","negative regulation of response to wounding","22/2006","101/18986",0.217821782178218,2.06159738605964,3.67674876269395,0.000737957190754778,0.0383930249763986,0.0339021248549037,"6696/7143/5054/89790/4846/22915/7056/5329/5270/634/240/5345/114897/5580/6774/5777/10019/2137/23332/9860/9856/55966",22
