,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000173110,1413.538773,8.492924319,1.190124223,7.136166254,9.60E-13,4.54E-09
ENSG00000305782,37.81054148,4.707151158,0.780624298,6.029982887,1.64E-09,2.39E-06
ENSG00000196136,3200.094459,4.669168723,0.904246089,5.163604,2.42E-07,0.000117529
ENSG00000204389,33251.14613,4.512811004,0.723187451,6.240167742,4.37E-10,7.52E-07
ENSG00000273259,19.250841,4.280568512,0.618641721,6.919301378,4.54E-12,1.43E-08
ENSG00000175793,49.85143992,4.260023007,0.658299807,6.471250579,9.72E-11,2.04E-07
ENSG00000100336,94.24974345,4.138651257,0.556639815,7.435061496,1.05E-13,9.89E-10
ENSG00000204388,23561.56375,4.059551131,0.646768424,6.276668712,3.46E-10,6.55E-07
ENSG00000175084,167.7345903,3.782916029,0.982878622,3.848813012,NA,NA
ENSG00000149257,1218.455324,3.462024769,0.64826565,5.34044148,9.27E-08,5.85E-05
ENSG00000064886,59.58717679,3.444278513,0.489002227,7.043482264,1.87E-12,7.10E-09
ENSG00000151929,3293.146575,3.414706506,0.612319111,5.576677989,2.45E-08,2.11E-05
ENSG00000135697,27.74786375,3.358160834,0.576671343,5.823353067,5.77E-09,6.83E-06
ENSG00000274585,68.77797171,3.311702357,1.049044035,3.1568764,NA,NA
ENSG00000137558,37.91243979,3.233956673,0.790331792,4.091897486,4.28E-05,0.006285089
ENSG00000026508,457.3026744,3.210681838,0.447889448,7.16846948,7.58E-13,4.54E-09
ENSG00000133048,2072.006935,3.172397402,0.481988344,6.58189652,4.64E-11,1.26E-07
ENSG00000290387,23.65912335,3.085604216,0.752992255,4.097790112,4.17E-05,0.0062186
ENSG00000132002,9415.089324,3.010766066,0.460042151,6.544543931,5.97E-11,1.41E-07
ENSG00000211892,22.04647668,2.918317547,0.672623391,4.338709573,1.43E-05,0.002856478
ENSG00000187955,33.64707061,2.908741798,0.722013456,4.028653172,5.61E-05,0.007534564
ENSG00000171631,54.71781956,2.871896599,0.504894575,5.688111419,1.28E-08,1.22E-05
ENSG00000129654,238.2567515,2.825385729,0.791657284,3.568950586,0.000358414,0.027965002
ENSG00000106211,10344.89498,2.81819972,0.602925741,4.674206999,2.95E-06,0.000946994
ENSG00000179344,264.3355352,2.817160681,0.928395904,3.034438939,0.002409835,0.091073497
ENSG00000280152,25.87205633,2.811568565,0.754435211,3.726719702,0.000193988,0.018364842
ENSG00000187498,306.8372183,2.810834701,0.483884496,5.808895978,6.29E-09,7.00E-06
ENSG00000165507,2746.180913,2.787760752,0.753957501,3.697503835,0.00021773,0.020012129
ENSG00000143546,72.74300578,2.781414639,0.883725849,3.147372732,0.001647448,0.071552976
ENSG00000183615,44.01246283,2.746119231,0.516452523,5.317273341,1.05E-07,6.43E-05
ENSG00000188488,9.611040329,2.710735901,0.757378387,3.579103848,0.000344774,0.027428401
ENSG00000275395,359.8416328,2.662087672,0.974113807,2.732830244,0.006279269,0.158100628
ENSG00000240583,2342.888734,2.661546063,0.814276724,3.268601428,0.001080804,0.057002643
ENSG00000211893,17.59966064,2.658622933,0.918910279,2.893234513,0.003812965,0.122018837
ENSG00000225217,19.77281701,2.65484788,1.067675139,2.486568979,0.012898156,0.227811278
ENSG00000160886,29.09717614,2.633431139,0.757169751,3.477993061,0.000505183,0.035426426
ENSG00000133392,242.9526248,2.616957983,0.953104077,2.745721109,0.006037807,0.154153797
ENSG00000185955,67.11688385,2.582231691,0.603972094,4.275415564,1.91E-05,0.003473317
ENSG00000293485,45.87033539,2.56034358,0.520403427,4.919920674,8.66E-07,0.000327858
ENSG00000006747,47.84316182,2.553848199,0.649376449,3.932769972,8.40E-05,0.010015752
ENSG00000137496,160.4407487,2.53120421,0.446506674,5.668905652,1.44E-08,1.30E-05
ENSG00000047457,228.9624619,2.512897248,0.562622533,4.466399945,7.95E-06,0.001956026
ENSG00000163638,198.9498161,2.505660135,0.47909243,5.230014037,1.69E-07,9.17E-05
ENSG00000173530,62.00478149,2.490774352,0.595973798,4.179335335,2.92E-05,0.004807027
ENSG00000259207,32.56501062,2.482576519,0.790371154,3.141026221,0.00168357,0.072612088
ENSG00000180914,156.0282395,2.480166477,0.546236494,4.540462792,5.61E-06,0.001496876
ENSG00000270696,22.8475123,2.477215727,1.493851951,1.658273918,0.097262191,0.51541067
ENSG00000163220,99.11582829,2.476144131,0.651035729,3.803392075,0.000142728,0.014848437
ENSG00000152049,163.2974679,2.457488154,0.56431022,4.354853174,1.33E-05,0.002710944
ENSG00000147174,31.00851778,2.433539025,0.547743588,4.442843472,8.88E-06,0.00208333
ENSG00000149591,879.4514987,2.408434747,0.773484584,3.113746282,0.001847283,0.077381527
ENSG00000128342,25.00013756,2.407702377,1.556005408,1.547361189,0.121776175,0.555567936
ENSG00000159403,627.6225704,2.40451238,0.319880833,7.51690045,5.61E-14,9.89E-10
ENSG00000162383,52.70614632,2.403605252,0.5594965,4.296014816,1.74E-05,0.003359741
ENSG00000007908,26.68228763,2.376715258,0.884947369,2.685713685,0.007237508,0.170653766
ENSG00000112773,75.77327099,2.366152776,0.596668051,3.96560998,7.32E-05,0.009000841
ENSG00000173040,33.5250313,2.359330792,0.59669656,3.953987589,7.69E-05,0.009379933
ENSG00000243509,289.6325279,2.350132011,0.89743143,2.618731564,0.008825737,0.188666798
ENSG00000013588,53.71289166,2.330837928,1.149842008,2.02709408,0.042652792,0.382938699
