,ID,GeneID,geneSymbol,chr,strand,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference
MXE,8357,ENSG00000078053.17,AMPH,chr7,-,"226,191,154,308,9","16,104,8,2,6","48,266,446,53,367,112,62","10,0,0,6,12,2,4",122,620,1.75E-10,1.91E-06,"0.986,0.903,0.99,0.999,0.884","0.961,1.0,1.0,0.978,0.994,0.996,0.987",-0.036
MXE,8838,ENSG00000143549.22,TPM3,chr1,-,"104,147,116,86,48","9,955,735,341,156,130","49,55,65,48,48,98,39","36,911,261,304,587,700,000,000",174,174,1.40E-09,7.67E-06,"0.095,0.204,0.178,0.069,0.27","0.117,0.047,0.047,0.076,0.063,0.131,0.053",0.087
MXE,10478,ENSG00000293616.2,PCBP1-AS1,chr2,-,"4,2,0,5,4","6,1,2,6,0","1,2,3,4,2,2,6","0,0,1,1,1,0,0",295,183,4.22E-09,1.54E-05,"0.293,0.554,0.0,0.341,1.0","1.0,1.0,0.65,0.713,0.554,1.0,1.0",-0.408
MXE,388,ENSG00000160193.12,WDR4,chr21,-,"6,4,10,8,1","5,5,2,7,0","2,11,6,1,9,8,8","0,2,0,0,0,0,2",164,187,1.57E-08,4.31E-05,"0.578,0.477,0.851,0.566,1.0","1.0,0.862,1.0,1.0,1.0,1.0,0.82",-0.26
MXE,2674,ENSG00000270011.9,ZNF559-ZNF177,chr19,+,"0,0,0,2,0","7,6,6,5,1","2,3,8,0,8,0,3","0,1,4,3,7,7,2",197,320,3.24E-08,5.92E-05,"0.0,0.0,0.0,0.394,0.0","1.0,0.83,0.765,0.0,0.65,0.0,0.709",-0.486
MXE,8599,ENSG00000159335.19,PTMS,chr12,+,"41,80,114,62,43","112,385,210,101,576,000","31,25,26,27,29,33,107","9,178,967,939,767,950,000,000",254,160,2.78E-08,5.92E-05,"0.022,0.056,0.066,0.024,0.031","0.021,0.017,0.02,0.017,0.022,0.022,0.029",0.019
MXE,586,ENSG00000132639.15,SNAP25,chr20,+,"894,471,366,1439,46","56,683,610,394,011,000,000","16,610,721,587,462,800,000,000","2,194,116,341,088,750,000,000,000,000,000",216,224,4.94E-08,7.06E-05,"0.141,0.119,0.088,0.119,0.109","0.073,0.087,0.131,0.08,0.069,0.07,0.073",0.032
MXE,5370,ENSG00000240344.10,PPIL3,chr2,-,"30,29,23,18,5","43,50,32,89,5","6,10,8,5,18,5,0","27,127,80,58,63,42,1",204,192,5.36E-08,7.06E-05,"0.396,0.353,0.404,0.16,0.485","0.173,0.069,0.086,0.075,0.212,0.101,0.0",0.257
MXE,10788,ENSG00000268750.7,ENSG00000268750,chr19,+,"0,1,0,2,0","1,9,1,8,1","1,1,5,1,3,1,2","0,7,3,0,3,0,4",154,225,6.44E-08,7.06E-05,"0.0,0.14,0.0,0.268,0.0","1.0,0.173,0.709,1.0,0.594,1.0,0.422",-0.618
MXE,12102,ENSG00000198755.11,RPL10A,chr6,+,"60,80,51,69,22","47,103,74,46,23","61,40,32,24,81,62,61","28,16,16,21,39,23,8",173,437,6.37E-08,7.06E-05,"0.763,0.662,0.635,0.791,0.707","0.846,0.863,0.835,0.743,0.84,0.872,0.951",-0.138
