,ID,GeneID,geneSymbol,chr,strand,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference
RI,21,ENSG00000102030.16,NAA10,chrX,-,"156,190,176,21,51","184,192,204,259,179","26,36,22,12,25,52,92","154,213,189,221,171,000,000",1321,98,0,0,"0.059,0.068,0.06,0.006,0.021","0.012,0.012,0.009,0.004,0.011,0.017,0.03",0.029
RI,726,ENSG00000064607.17,SUGP2,chr19,-,"134,206,149,33,60","182,161,159,290,115","20,33,30,20,44,77,71","145,236,170,257,111,000,000",755,98,0,0,"0.087,0.142,0.108,0.015,0.063","0.018,0.018,0.022,0.01,0.049,0.05,0.037",0.054
RI,899,ENSG00000104969.11,SGTA,chr19,-,"62,123,205,7,35","185,163,161,356,173","31,9,22,0,34,20,32","160,228,130,154,181,000,000",1572,98,0,0,"0.02,0.045,0.074,0.001,0.012","0.012,0.002,0.01,0.0,0.012,0.007,0.011",0.023
RI,2098,ENSG00000176454.15,LPCAT4,chr15,-,"99,125,124,30,21","339,244,314,474,164","20,28,22,21,34,53,58","326,408,294,396,358,000,000",463,98,0,0,"0.058,0.098,0.077,0.013,0.026","0.013,0.014,0.016,0.011,0.02,0.026,0.028",0.036
RI,2152,ENSG00000224078.16,SNHG14,chr15,+,"78,129,52,16,42","41,36,26,61,15","19,31,36,13,38,47,24","12,119,61,43,86,53,31",3502,98,0,0,"0.051,0.091,0.053,0.007,0.073","0.042,0.007,0.016,0.008,0.012,0.024,0.021",0.036
RI,2154,ENSG00000224078.16,SNHG14,chr15,+,"83,102,39,3,25","38,29,34,46,10","9,5,10,9,21,15,8","12,84,61,43,62,74,22",1851,98,0,0,"0.104,0.157,0.057,0.003,0.117","0.038,0.003,0.009,0.011,0.018,0.011,0.019",0.072
RI,2214,ENSG00000088970.16,KIZ,chr20,+,"124,250,242,13,93","50,49,60,58,43","24,19,23,26,63,42,48","56,55,43,65,45,78,82",2288,98,0,0,"0.096,0.179,0.147,0.01,0.085","0.018,0.015,0.022,0.017,0.057,0.023,0.024",0.078
RI,2303,ENSG00000072110.17,ACTN1,chr14,-,"160,171,161,52,52","111,82,136,240,64","22,31,45,21,38,59,48","117,214,166,185,178,000,000",1315,98,0,0,"0.097,0.135,0.081,0.016,0.057","0.014,0.011,0.02,0.008,0.016,0.027,0.025",0.06
RI,2305,ENSG00000072110.17,ACTN1,chr14,-,"45,70,30,18,14","66,52,72,116,36","5,11,3,5,9,10,6","71,116,112,100,113,63,71",563,98,0,0,"0.106,0.19,0.068,0.026,0.063","0.012,0.016,0.005,0.009,0.014,0.027,0.014",0.077
RI,2431,ENSG00000100836.11,PABPN1,chr14,+,"276,530,356,58,196","248,279,390,202,256","55,123,95,43,120,113,284","275,274,175,336,191,000,000",1055,98,0,0,"0.094,0.15,0.078,0.026,0.066","0.018,0.04,0.048,0.012,0.055,0.032,0.058",0.045
