,ID,GeneID,geneSymbol,chr,strand,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference
A5_ss,2475,ENSG00000140090.18,SLC24A4,chr14,+,"7,974,476,649,657,180,000,000","70,37,92,95,92,250,121","1,437,353,718,549,100,000,000,000,000,000,000","49,12,17,21,61,18,57,44,7,30",156,99,0,0,"0.878,0.885,0.821,0.866,0.832,0.76,0.8","0.949,0.949,0.964,0.943,0.919,0.949,0.913,0.938,0.98,0.956",-0.111
A5_ss,3089,ENSG00000067842.19,ATP2B3,chrX,+,"5,327,106,861,021,790,000,000","30,7,22,22,11,28,8","8,154,815,947,619,740,000,000,000,000,000","36,32,79,35,77,77,172,174,36,92",166,99,0,0,"0.914,0.984,0.949,0.965,0.977,0.952,0.98","0.931,0.9,0.818,0.928,0.883,0.847,0.763,0.797,0.917,0.85",0.097
A5_ss,8278,ENSG00000067057.19,PFKP,chr10,+,"188,178,184,301,135,183,97","92,244,795,811,023,900,000,000","62,15,19,25,37,28,25,30,13,30","665,148,446,180,516,000,000,000,000,000",228,99,0,0,"0.081,0.147,0.077,0.106,0.128,0.065,0.06","0.039,0.042,0.018,0.057,0.03,0.047,0.017,0.02,0.032,0.024",0.062
A5_ss,12687,ENSG00000174373.17,RALGAPA1,chr14,-,"208,596,585,836,434,000,000","43,32,65,56,29,99,56","6,838,061,014,610,820,000,000,000,000,000","19,15,17,8,18,15,37,36,7,17",1476,99,6.77E-15,1.72E-11,"0.245,0.555,0.376,0.5,0.501,0.259,0.403","0.707,0.783,0.8,0.836,0.755,0.733,0.529,0.611,0.871,0.795",-0.336
A5_ss,12078,ENSG00000120708.17,TGFBI,chr5,+,"22,95,79,134,34,36,65","149,207,379,411,198,000,000","57,32,31,31,40,83,76,120,97,68","19,824,862,429,876,900,000,000,000,000,000",160,99,1.66E-13,3.37E-10,"0.084,0.221,0.114,0.168,0.096,0.044,0.106","0.151,0.074,0.03,0.06,0.031,0.092,0.045,0.074,0.09,0.023",0.052
A5_ss,15339,ENSG00000206503.15,HLA-A,chr6,+,"14,13,14,11,37,19,260","1,2,1,2,0,0,0","10,7,20,8,13,16,24,25,9,17","11,0,8,0,2,2,8,7,1,6",117,99,2.05E-13,3.46E-10,"0.922,0.846,0.922,0.823,1.0,1.0,1.0","0.435,1.0,0.679,1.0,0.846,0.871,0.717,0.751,0.884,0.706",0.142
A5_ss,13424,ENSG00000171603.18,CLSTN1,chr1,-,"38,60,59,115,34,57,50","744,322,476,829,395,000,000","65,28,28,24,23,22,34,44,24,22","7,232,925,223,967,360,000,000,000,000,000",183,99,7.33E-13,1.06E-09,"0.027,0.092,0.063,0.07,0.044,0.049,0.03","0.046,0.049,0.028,0.032,0.017,0.026,0.026,0.021,0.028,0.014",0.025
A5_ss,16070,ENSG00000291156.2,ENSG00000291156,chr1,+,"4,6,11,9,3,2,5","0,0,0,0,0,2,0","12,3,4,3,4,6,1,6,11,10","2,2,7,2,9,4,6,9,2,1",215,99,1.40E-12,1.77E-09,"1.0,1.0,1.0,1.0,1.0,0.315,1.0","0.734,0.409,0.208,0.409,0.17,0.409,0.071,0.235,0.717,0.822",0.484
A5_ss,838,ENSG00000006015.18,REX1BD,chr19,+,"221,382,339,544,296,000,000","0,6,14,12,0,2,4","368,279,349,312,375,000,000,000,000,000","0,0,4,0,0,0,1,0,0,0",705,99,1.76E-12,1.98E-09,"1.0,0.899,0.773,0.864,1.0,0.959,0.965","1.0,1.0,0.925,1.0,1.0,1.0,0.986,1.0,1.0,1.0",-0.068
A5_ss,6841,ENSG00000273136.9,NBPF26,chr1,+,"5,21,45,72,22,18,18","1,2,5,6,1,2,6","5,8,16,9,23,17,56,35,11,14","0,0,0,0,0,0,0,2,0,1",210,99,2.47E-12,2.51E-09,"0.702,0.832,0.809,0.85,0.912,0.809,0.586","1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.892,1.0,0.868",-0.19
